Incident_Id,Location,Cluster
147593,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147594,Jail/Prison/Penitentiary/Corrections Facility,Goverment Buildings
147595,Liquor Store,Store and Commercial Buildings
147596,Residence/Home,Residential or Community Center
147597,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147598,School/College,Educational Buildings
147599,School/College,Educational Buildings
143577,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143578,Department/Discount Store,Store and Commercial Buildings
143579,Residence/Home,Residential or Community Center
143580,Service/Gas Station,"Highway, Road or Other Open Space"
143581,Service/Gas Station,"Highway, Road or Other Open Space"
143582,Residence/Home,Residential or Community Center
143583,Residence/Home,Residential or Community Center
143584,Residence/Home,Residential or Community Center
143585,Residence/Home,Residential or Community Center
143586,Residence/Home,Residential or Community Center
143587,Residence/Home,Residential or Community Center
143588,Air/Bus/Train Terminal,Transportation Terminals
143589,Department/Discount Store,Store and Commercial Buildings
143590,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143591,Residence/Home,Residential or Community Center
143592,Residence/Home,Residential or Community Center
143593,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143594,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143595,Commercial/Office Building,Store and Commercial Buildings
147695,Restaurant,Store and Commercial Buildings
147696,Restaurant,Store and Commercial Buildings
143737,Residence/Home,Residential or Community Center
147697,Other/Unknown,Other/Unknown
143738,Residence/Home,Residential or Community Center
147698,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143739,Residence/Home,Residential or Community Center
143740,School/College,Educational Buildings
143741,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143742,Residence/Home,Residential or Community Center
147699,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147700,Department/Discount Store,Store and Commercial Buildings
147701,Residence/Home,Residential or Community Center
147702,Residence/Home,Residential or Community Center
147703,Department/Discount Store,Store and Commercial Buildings
143743,Department/Discount Store,Store and Commercial Buildings
147704,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147705,Bar/Nightclub,Store and Commercial Buildings
143744,Residence/Home,Residential or Community Center
147706,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147707,School/College,Educational Buildings
143745,Air/Bus/Train Terminal,Transportation Terminals
435691,Liquor Store,Store and Commercial Buildings
147708,Bar/Nightclub,Store and Commercial Buildings
143746,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147779,Residence/Home,Residential or Community Center
143747,Residence/Home,Residential or Community Center
143748,Jail/Prison/Penitentiary/Corrections Facility,Goverment Buildings
147780,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147781,Residence/Home,Residential or Community Center
143749,Residence/Home,Residential or Community Center
143750,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143751,Residence/Home,Residential or Community Center
143752,Residence/Home,Residential or Community Center
143753,Residence/Home,Residential or Community Center
143754,Residence/Home,Residential or Community Center
143755,School/College,Educational Buildings
143756,Residence/Home,Residential or Community Center
147782,Residence/Home,Residential or Community Center
143757,Residence/Home,Residential or Community Center
143758,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147783,Residence/Home,Residential or Community Center
147784,Other/Unknown,Other/Unknown
147785,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143759,Residence/Home,Residential or Community Center
143760,Department/Discount Store,Store and Commercial Buildings
147786,Residence/Home,Residential or Community Center
147787,Other/Unknown,Other/Unknown
143761,Other/Unknown,Other/Unknown
147788,Residence/Home,Residential or Community Center
143762,Residence/Home,Residential or Community Center
147789,Drug Store/Doctor's Office/Hospital,Store and Commercial Buildings
147790,Department/Discount Store,Store and Commercial Buildings
147791,Commercial/Office Building,Store and Commercial Buildings
143763,Residence/Home,Residential or Community Center
147792,Residence/Home,Residential or Community Center
143764,Residence/Home,Residential or Community Center
143765,Residence/Home,Residential or Community Center
147793,Convenience Store,Store and Commercial Buildings
147794,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147795,Residence/Home,Residential or Community Center
143766,Convenience Store,Store and Commercial Buildings
147796,Other/Unknown,Other/Unknown
143767,Residence/Home,Residential or Community Center
143596,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143597,Bar/Nightclub,Store and Commercial Buildings
143616,Residence/Home,Residential or Community Center
143617,Other/Unknown,Other/Unknown
143618,Residence/Home,Residential or Community Center
143619,Residence/Home,Residential or Community Center
143620,Residence/Home,Residential or Community Center
143621,Residence/Home,Residential or Community Center
143622,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143623,Government/Public Building,Goverment Buildings
143598,Field/Woods,Public Places and Recreation Sites
143599,Residence/Home,Residential or Community Center
143600,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143601,Residence/Home,Residential or Community Center
143602,Residence/Home,Residential or Community Center
143603,Residence/Home,Residential or Community Center
143604,School/College,Educational Buildings
143605,Residence/Home,Residential or Community Center
143624,Residence/Home,Residential or Community Center
143625,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143626,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143627,School/College,Educational Buildings
143628,Residence/Home,Residential or Community Center
143629,Residence/Home,Residential or Community Center
143606,Residence/Home,Residential or Community Center
143607,School/College,Educational Buildings
143608,Residence/Home,Residential or Community Center
143609,Residence/Home,Residential or Community Center
143630,Air/Bus/Train Terminal,Transportation Terminals
143631,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143632,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143610,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143611,School/College,Educational Buildings
143612,Specialty Store,Store and Commercial Buildings
143613,Residence/Home,Residential or Community Center
143614,Bar/Nightclub,Store and Commercial Buildings
143615,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143633,Residence/Home,Residential or Community Center
143634,Bar/Nightclub,Store and Commercial Buildings
143635,Specialty Store,Store and Commercial Buildings
143636,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143637,Commercial/Office Building,Store and Commercial Buildings
143638,School/College,Educational Buildings
143639,Residence/Home,Residential or Community Center
143640,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143641,School/College,Educational Buildings
143642,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143643,Convenience Store,Store and Commercial Buildings
143644,Residence/Home,Residential or Community Center
143645,Residence/Home,Residential or Community Center
143646,Residence/Home,Residential or Community Center
143647,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143648,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143649,Residence/Home,Residential or Community Center
143650,Residence/Home,Residential or Community Center
143651,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143652,Residence/Home,Residential or Community Center
143653,Residence/Home,Residential or Community Center
143654,Residence/Home,Residential or Community Center
143655,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143656,Residence/Home,Residential or Community Center
143657,Residence/Home,Residential or Community Center
143658,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143659,Residence/Home,Residential or Community Center
143660,Government/Public Building,Goverment Buildings
143661,Residence/Home,Residential or Community Center
143662,Residence/Home,Residential or Community Center
143663,Residence/Home,Residential or Community Center
143664,Residence/Home,Residential or Community Center
143665,Residence/Home,Residential or Community Center
143666,Other/Unknown,Other/Unknown
143667,Other/Unknown,Other/Unknown
143668,Residence/Home,Residential or Community Center
143669,Residence/Home,Residential or Community Center
143670,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143671,Residence/Home,Residential or Community Center
143672,Residence/Home,Residential or Community Center
143673,Residence/Home,Residential or Community Center
143674,Residence/Home,Residential or Community Center
143675,Other/Unknown,Other/Unknown
143676,Residence/Home,Residential or Community Center
143677,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143678,Residence/Home,Residential or Community Center
143679,Rental Storage Facility,Store and Commercial Buildings
143680,Commercial/Office Building,Store and Commercial Buildings
143681,Residence/Home,Residential or Community Center
143682,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143683,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143684,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143685,Government/Public Building,Goverment Buildings
143686,Residence/Home,Residential or Community Center
143687,Residence/Home,Residential or Community Center
143688,Residence/Home,Residential or Community Center
143689,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143690,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143691,Residence/Home,Residential or Community Center
143692,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143693,School/College,Educational Buildings
147600,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147601,Residence/Home,Residential or Community Center
147602,Residence/Home,Residential or Community Center
147603,Residence/Home,Residential or Community Center
147604,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147605,Residence/Home,Residential or Community Center
147606,Residence/Home,Residential or Community Center
147607,Convenience Store,Store and Commercial Buildings
147608,Residence/Home,Residential or Community Center
147609,Lake/Waterway/Beach,Public Places and Recreation Sites
147610,Residence/Home,Residential or Community Center
147611,Residence/Home,Residential or Community Center
147612,Residence/Home,Residential or Community Center
147613,Residence/Home,Residential or Community Center
147614,Residence/Home,Residential or Community Center
147615,Bar/Nightclub,Store and Commercial Buildings
147616,Residence/Home,Residential or Community Center
147617,Other/Unknown,Other/Unknown
147618,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147619,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147620,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147621,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147622,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147623,Residence/Home,Residential or Community Center
147624,Residence/Home,Residential or Community Center
147625,Residence/Home,Residential or Community Center
147626,Residence/Home,Residential or Community Center
147627,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147628,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147629,Residence/Home,Residential or Community Center
147630,Residence/Home,Residential or Community Center
147631,Other/Unknown,Other/Unknown
147632,Other/Unknown,Other/Unknown
147633,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147634,Residence/Home,Residential or Community Center
147635,Residence/Home,Residential or Community Center
147636,Residence/Home,Residential or Community Center
147637,Other/Unknown,Other/Unknown
147638,Restaurant,Store and Commercial Buildings
147639,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147640,Convenience Store,Store and Commercial Buildings
147641,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147642,Residence/Home,Residential or Community Center
147643,Residence/Home,Residential or Community Center
147644,Residence/Home,Residential or Community Center
147645,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147646,Residence/Home,Residential or Community Center
147647,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147648,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147649,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147650,Convenience Store,Store and Commercial Buildings
147651,School/College,Educational Buildings
147652,School/College,Educational Buildings
147653,Convenience Store,Store and Commercial Buildings
147654,Air/Bus/Train Terminal,Transportation Terminals
147655,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147656,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147657,Residence/Home,Residential or Community Center
147658,Restaurant,Store and Commercial Buildings
147659,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147660,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147661,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147662,Residence/Home,Residential or Community Center
147663,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147664,School/College,Educational Buildings
147665,Residence/Home,Residential or Community Center
147666,Residence/Home,Residential or Community Center
147667,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147668,Residence/Home,Residential or Community Center
147669,Residence/Home,Residential or Community Center
143694,Other/Unknown,Other/Unknown
143695,Residence/Home,Residential or Community Center
143696,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143697,Residence/Home,Residential or Community Center
143698,Drug Store/Doctor's Office/Hospital,Store and Commercial Buildings
143699,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
