Incident_Id,Offense,Cluster
147593,Aggravated Assault,Assault
147594,Simple Assault,Assault
147595,Simple Assault,Assault
147596,Aggravated Assault,Assault
147597,Intimidation,Psychological Harassment
147598,Simple Assault,Assault
147599,Intimidation,Psychological Harassment
143577,Intimidation,Psychological Harassment
143578,Intimidation,Psychological Harassment
143579,Intimidation,Psychological Harassment
143580,Destruction/Damage/Vandalism of Property,Assault
143581,Intimidation,Psychological Harassment
143582,Murder and Nonnegligent Manslaughter,Murder or Manslaughter
143583,Intimidation,Psychological Harassment
143584,Intimidation,Psychological Harassment
143585,Simple Assault,Assault
143586,Simple Assault,Assault
143587,Simple Assault,Assault
143588,Intimidation,Psychological Harassment
143589,Intimidation,Psychological Harassment
143590,Intimidation,Psychological Harassment
143591,Simple Assault,Assault
143592,Simple Assault,Assault
143593,Intimidation,Psychological Harassment
143594,Simple Assault,Assault
143595,Intimidation,Psychological Harassment
147695,Destruction/Damage/Vandalism of Property,Assault
147696,Destruction/Damage/Vandalism of Property,Assault
143737,Burglary/Breaking & Entering,Burgarly or Robbery
147697,Destruction/Damage/Vandalism of Property,Assault
147697,Simple Assault,Assault
143738,Theft From Motor Vehicle,Burgarly or Robbery
147698,Intimidation,Psychological Harassment
143739,Destruction/Damage/Vandalism of Property,Assault
143740,Simple Assault,Assault
143741,Destruction/Damage/Vandalism of Property,Assault
143742,Burglary/Breaking & Entering,Burgarly or Robbery
147699,Destruction/Damage/Vandalism of Property,Assault
147699,Simple Assault,Assault
147700,Shoplifting,Burgarly or Robbery
147701,Intimidation,Psychological Harassment
147702,All Other Larceny,Other
147703,Shoplifting,Burgarly or Robbery
143743,Shoplifting,Burgarly or Robbery
147704,Simple Assault,Assault
147705,Simple Assault,Assault
143744,Destruction/Damage/Vandalism of Property,Assault
147706,Simple Assault,Assault
147707,Simple Assault,Assault
143745,Simple Assault,Assault
435691,Destruction/Damage/Vandalism of Property,Assault
147708,Simple Assault,Assault
143746,Simple Assault,Assault
147779,Intimidation,Psychological Harassment
143747,All Other Larceny,Other
143747,Burglary/Breaking & Entering,Burgarly or Robbery
143748,Simple Assault,Assault
147780,Simple Assault,Assault
147781,Arson,Assault
143749,Intimidation,Psychological Harassment
143750,Simple Assault,Assault
143751,Destruction/Damage/Vandalism of Property,Assault
143752,All Other Larceny,Other
143753,Intimidation,Psychological Harassment
143754,Intimidation,Psychological Harassment
143755,Simple Assault,Assault
143756,Burglary/Breaking & Entering,Burgarly or Robbery
